subjno,trialType,primeType,targetVerbType,confederateVerbTransitivity,confederateVerb,confederateAgent,confederateBeneficiary,confederateTheme,confederateAgentPos,confederateSentence,confederateImage,matcherArray1,matcherArray2,matcherArray3,matcherArray4,participantVerbTransitivity,participantVerb,participantAgent,participantBeneficiary,participantTheme,participantAgentPos,participantImage
E1N_16_1,filler,NA,NA,m,buys,sailor,NA,hat,R,E1N_16_the_sailor_buys_the_hat,sailor_buys_hat,sailor_catches_hat,sailor_catches_book,sailor_buys_book,sailor_buys_hat,d,passes,clown,soldier,apple,L,clown_passes_soldier_apple
E1N_16_1,filler,NA,NA,m,stabs,knight,NA,apple,R,E1N_16_the_knight_stabs_the_apple,knight_stabs_apple,knight_brushes_apple,knight_stabs_apple,pirate_stabs_apple,pirate_brushes_apple,d,presents,prisoner,chef,apple,R,prisoner_presents_chef_apple
E1N_16_1,filler,NA,NA,m,examines,soldier,NA,hat,R,E1N_16_the_soldier_examines_the_hat,soldier_examines_hat,soldier_examines_hat,chef_stabs_hat,chef_examines_hat,soldier_stabs_hat,m,pokes,pirate,NA,hat,L,pirate_pokes_hat
E1N_16_1,filler,NA,NA,m,pokes,soldier,NA,vase,L,E1N_16_the_soldier_pokes_the_vase,soldier_pokes_vase,soldier_drops_cake,soldier_pokes_cake,soldier_pokes_vase,soldier_drops_vase,m,examines,knight,NA,cake,R,knight_examines_cake
E1N_16_1,filler,NA,NA,i,points,chef,NA,NA,L,E1N_16_the_chef_points,chef_points,wizard_spies,wizard_points,chef_spies,chef_points,i,shouts,cowboy,NA,NA,R,cowboy_shouts
E1N_16_1,filler,NA,NA,i,shouts,artist,NA,NA,L,E1N_16_the_artist_shouts,artist_shouts,prisoner_sings,artist_shouts,prisoner_shouts,artist_sings,i,waves,sailor,NA,NA,R,sailor_waves
E1N_16_1,filler,NA,NA,i,points,clown,NA,NA,R,E1N_16_the_clown_points,clown_points,clown_points,clown_spies,chef_spies,chef_points,d,presents,chef,sailor,cake,R,chef_presents_sailor_cake
E1N_16_1,filler,NA,NA,m,pokes,knight,NA,hat,R,E1N_16_the_knight_pokes_the_hat,knight_pokes_hat,knight_buys_hat,knight_pokes_cake,knight_buys_cake,knight_pokes_hat,d,presents,cowboy,artist,cup,L,cowboy_presents_artist_cup
E1N_16_1,filler,NA,NA,m,buys,clown,NA,cake,R,E1N_16_the_clown_buys_the_cake,clown_buys_cake,artist_buys_cake,clown_buys_vase,artist_buys_vase,clown_buys_cake,i,waves,artist,NA,NA,L,artist_waves
E1N_16_1,critical,PO,DV,d,hands,cowboy,golfer,cup,L,E1N_16_the_cowboy_hands_the_cup_to_the_golfer,cowboy_hands_golfer_cup,cowboy_hands_golfer_cup,golfer_hands_cowboy_cake,golfer_hands_cowboy_cup,cowboy_hands_golfer_cake,d,gives,sailor,wizard,apple,L,sailor_gives_wizard_apple
E1N_16_1,filler,NA,NA,m,examines,knight,NA,hat,L,E1N_16_the_knight_examines_the_hat,knight_examines_hat,knight_examines_vase,knight_examines_hat,cowboy_examines_vase,cowboy_examines_hat,d,passes,clown,golfer,apple,R,clown_passes_golfer_apple
E1N_16_1,filler,NA,NA,d,passes,astronaut,knight,vase,R,E1N_16_the_astronaut_passes_the_knight_the_vase,astronaut_passes_knight_vase,astronaut_passes_artist_vase,astronaut_passes_knight_vase,knight_passes_astronaut_vase,artist_passes_astronaut_vase,i,ponders,knight,NA,NA,L,knight_ponders
E1N_16_1,filler,NA,NA,i,sings,golfer,NA,NA,L,E1N_16_the_golfer_sings,golfer_sings,artist_sings,golfer_points,golfer_sings,artist_points,m,catches,prisoner,NA,apple,R,prisoner_catches_apple
E1N_16_1,filler,NA,NA,d,loans,wizard,prisoner,apple,R,E1N_16_the_wizard_loans_the_prisoner_the_apple,wizard_loans_prisoner_apple,prisoner_loans_wizard_vase,wizard_loans_prisoner_apple,prisoner_loans_wizard_apple,wizard_loans_prisoner_vase,m,holds,pirate,NA,cake,L,pirate_holds_cake
E1N_16_1,critical,PO,DV,d,brings,pirate,chef,hat,L,E1N_16_the_pirate_brings_the_hat_to_the_chef,pirate_brings_chef_hat,chef_brings_pirate_hat,pirate_brings_chef_hat,chef_brings_wizard_hat,wizard_brings_chef_hat,d,shows,chef,golfer,cake,R,chef_shows_golfer_cake
E1N_16_1,filler,NA,NA,i,waves,knight,NA,NA,R,E1N_16_the_knight_waves,knight_waves,cowboy_cries,knight_cries,knight_waves,cowboy_waves,i,sings,artist,NA,NA,R,artist_sings
E1N_16_1,filler,NA,NA,i,shouts,clown,NA,NA,L,E1N_16_the_clown_shouts,clown_shouts,prisoner_waves,prisoner_shouts,clown_shouts,clown_waves,m,stabs,cowboy,NA,book,R,cowboy_stabs_book
E1N_16_1,filler,NA,NA,i,shouts,knight,NA,NA,L,E1N_16_the_knight_shouts,knight_shouts,cowboy_shouts,cowboy_spies,knight_spies,knight_shouts,i,ponders,golfer,NA,NA,L,golfer_ponders
E1N_16_1,filler,NA,NA,d,serves,prisoner,clown,cup,L,E1N_16_the_prisoner_serves_the_clown_the_cup,prisoner_serves_clown_cup,prisoner_serves_clown_cup,clown_serves_prisoner_cup,prisoner_serves_astronaut_cup,astronaut_serves_prisoner_cup,m,drops,wizard,NA,cup,L,wizard_drops_cup
E1N_16_1,filler,NA,NA,i,yawns,artist,NA,NA,L,E1N_16_the_artist_yawns,artist_yawns,artist_yawns,prisoner_sings,prisoner_yawns,artist_sings,i,yawns,knight,NA,NA,L,knight_yawns
E1N_16_1,filler,NA,NA,i,sings,wizard,NA,NA,L,E1N_16_the_wizard_sings,wizard_sings,wizard_sings,soldier_shouts,soldier_sings,wizard_shouts,i,shouts,soldier,NA,NA,R,soldier_shouts
