subjno,trialType,primeType,targetVerbType,confederateVerbTransitivity,confederateVerb,confederateAgent,confederateBeneficiary,confederateTheme,confederateAgentPos,confederateSentence,confederateImage,matcherArray1,matcherArray2,matcherArray3,matcherArray4,participantVerbTransitivity,participantVerb,participantAgent,participantBeneficiary,participantTheme,participantAgentPos,participantImage
E2N_3_1,filler,NA,NA,d,conveys,artist,sailor,book,L,E2N_3_the_artist_conveys_the_sailor_the_book,artist_conveys_sailor_book,artist_conveys_sailor_book,pirate_conveys_sailor_book,sailor_conveys_artist_book,sailor_conveys_pirate_book,i,waves,pirate,NA,NA,L,pirate_waves
E2N_3_1,filler,NA,NA,i,cries,artist,NA,NA,L,E2N_3_the_artist_cries,artist_cries,soldier_sings,soldier_cries,artist_sings,artist_cries,m,examines,prisoner,NA,apple,L,prisoner_examines_apple
E2N_3_1,filler,NA,NA,i,sings,sailor,NA,NA,L,E2N_3_the_sailor_sings,sailor_sings,sailor_sings,clown_yawns,clown_sings,sailor_yawns,m,examines,chef,NA,cake,L,chef_examines_cake
E2N_3_1,filler,NA,NA,d,loans,cowboy,soldier,vase,R,E2N_3_the_cowboy_loans_the_soldier_the_vase,cowboy_loans_soldier_vase,soldier_loans_pirate_vase,soldier_loans_cowboy_vase,pirate_loans_soldier_vase,cowboy_loans_soldier_vase,i,shouts,astronaut,NA,NA,R,astronaut_shouts
E2N_3_1,filler,NA,NA,i,yawns,golfer,NA,NA,L,E2N_3_the_golfer_yawns,golfer_yawns,golfer_yawns,astronaut_shouts,astronaut_yawns,golfer_shouts,m,catches,wizard,NA,cake,R,wizard_catches_cake
E2N_3_1,filler,NA,NA,i,waves,cowboy,NA,NA,R,E2N_3_the_cowboy_waves,cowboy_waves,golfer_waves,cowboy_sings,golfer_sings,cowboy_waves,m,examines,chef,NA,cup,R,chef_examines_cup
E2N_3_1,filler,NA,NA,d,conveys,artist,wizard,apple,R,E2N_3_the_artist_conveys_the_wizard_the_apple,artist_conveys_wizard_apple,artist_conveys_wizard_apple,wizard_conveys_artist_apple,astronaut_conveys_artist_apple,artist_conveys_astronaut_apple,i,yawns,chef,NA,NA,L,chef_yawns
E2N_3_1,filler,NA,NA,i,cries,wizard,NA,NA,R,E2N_3_the_wizard_cries,wizard_cries,wizard_cries,wizard_shouts,golfer_shouts,golfer_cries,i,yawns,cowboy,NA,NA,R,cowboy_yawns
E2N_3_1,filler,NA,NA,d,loans,astronaut,cowboy,cake,L,E2N_3_the_astronaut_loans_the_cowboy_the_cake,astronaut_loans_cowboy_cake,astronaut_loans_cowboy_cake,astronaut_loans_knight_cake,knight_loans_astronaut_cake,cowboy_loans_astronaut_cake,m,holds,artist,NA,cake,R,artist_holds_cake
E2N_3_1,filler,NA,NA,d,entrusts,cowboy,chef,vase,R,E2N_3_the_cowboy_entrusts_the_chef_the_vase,cowboy_entrusts_chef_vase,chef_entrusts_cowboy_vase,cowboy_entrusts_chef_vase,chef_entrusts_soldier_vase,soldier_entrusts_chef_vase,m,pokes,knight,NA,apple,L,knight_pokes_apple
E2N_3_1,filler,NA,NA,m,pokes,sailor,NA,vase,L,E2N_3_the_sailor_pokes_the_vase,sailor_pokes_vase,sailor_pokes_vase,artist_pokes_vase,artist_pokes_cake,sailor_pokes_cake,m,holds,clown,NA,apple,L,clown_holds_apple
E2N_3_1,filler,NA,NA,d,conveys,soldier,artist,hat,L,E2N_3_the_soldier_conveys_the_artist_the_hat,soldier_conveys_artist_hat,artist_conveys_soldier_hat,soldier_conveys_artist_hat,artist_conveys_chef_hat,chef_conveys_artist_hat,m,drops,clown,NA,book,L,clown_drops_book
E2N_3_1,filler,NA,NA,i,cries,sailor,NA,NA,R,E2N_3_the_sailor_cries,sailor_cries,knight_ponders,sailor_cries,sailor_ponders,knight_cries,i,waves,artist,NA,NA,R,artist_waves
E2N_3_1,filler,NA,NA,i,sings,sailor,NA,NA,R,E2N_3_the_sailor_sings,sailor_sings,sailor_sings,pirate_cries,pirate_sings,sailor_cries,m,catches,pirate,NA,cup,R,pirate_catches_cup
E2N_3_1,filler,NA,NA,i,points,prisoner,NA,NA,R,E2N_3_the_prisoner_points,prisoner_points,cowboy_waves,cowboy_points,prisoner_waves,prisoner_points,i,spies,soldier,NA,NA,L,soldier_spies
E2N_3_1,filler,NA,NA,d,entrusts,prisoner,knight,apple,L,E2N_3_the_prisoner_entrusts_the_knight_the_apple,prisoner_entrusts_knight_apple,prisoner_entrusts_knight_apple,knight_entrusts_prisoner_book,prisoner_entrusts_knight_book,knight_entrusts_prisoner_apple,i,cries,prisoner,NA,NA,R,prisoner_cries
E2N_3_1,filler,NA,NA,m,stabs,knight,NA,hat,L,E2N_3_the_knight_stabs_the_hat,knight_stabs_hat,knight_brushes_cake,knight_stabs_cake,knight_stabs_hat,knight_brushes_hat,m,stabs,wizard,NA,hat,R,wizard_stabs_hat
E2N_3_1,filler,NA,NA,m,drops,astronaut,NA,cake,R,E2N_3_the_astronaut_drops_the_cake,astronaut_drops_cake,astronaut_drops_cake,clown_drops_cake,clown_buys_cake,astronaut_buys_cake,i,cries,astronaut,NA,NA,R,astronaut_cries
E2N_3_1,filler,NA,NA,m,brushes,clown,NA,apple,L,E2N_3_the_clown_brushes_the_apple,clown_brushes_apple,clown_drops_apple,cowboy_drops_apple,cowboy_brushes_apple,clown_brushes_apple,i,sings,clown,NA,NA,L,clown_sings
E2N_3_1,filler,NA,NA,d,passes,chef,prisoner,cake,L,E2N_3_the_chef_passes_the_prisoner_the_cake,chef_passes_prisoner_cake,chef_passes_prisoner_cake,prisoner_passes_pirate_cake,pirate_passes_prisoner_cake,prisoner_passes_chef_cake,m,brushes,artist,NA,vase,L,artist_brushes_vase
E2N_3_1,filler,NA,NA,i,spies,pirate,NA,NA,R,E2N_3_the_pirate_spies,pirate_spies,pirate_spies,pirate_ponders,sailor_ponders,sailor_spies,d,passes,astronaut,pirate,cake,R,astronaut_passes_pirate_cake
E2N_3_1,critical,non,nonDV,d,reveals,sailor,clown,hat,R,E2N_3_the_sailor_reveals_the_clown_the_hat,sailor_reveals_clown_hat,clown_reveals_sailor_vase,sailor_reveals_clown_vase,clown_reveals_sailor_hat,sailor_reveals_clown_hat,d,displays,wizard,soldier,apple,L,wizard_displays_soldier_apple
E2N_3_1,filler,NA,NA,i,cries,clown,NA,NA,R,E2N_3_the_clown_cries,clown_cries,clown_cries,soldier_cries,soldier_ponders,clown_ponders,m,stabs,sailor,NA,vase,R,sailor_stabs_vase
E2N_3_1,filler,NA,NA,i,shouts,astronaut,NA,NA,L,E2N_3_the_astronaut_shouts,astronaut_shouts,astronaut_shouts,astronaut_yawns,pirate_shouts,pirate_yawns,i,yawns,sailor,NA,NA,L,sailor_yawns
E2N_3_1,filler,NA,NA,d,passes,prisoner,artist,cake,L,E2N_3_the_prisoner_passes_the_artist_the_cake,prisoner_passes_artist_cake,artist_passes_prisoner_vase,artist_passes_prisoner_cake,prisoner_passes_artist_cake,prisoner_passes_artist_vase,i,yawns,golfer,NA,NA,R,golfer_yawns
E2N_3_1,critical,alt,altSV,d,gives,golfer,artist,cake,R,E2N_3_the_golfer_gives_the_artist_the_cake,golfer_gives_artist_cake,artist_gives_golfer_cake,astronaut_gives_golfer_cake,golfer_gives_astronaut_cake,golfer_gives_artist_cake,d,gives,knight,astronaut,vase,R,knight_gives_astronaut_vase
E2N_3_1,filler,NA,NA,i,yawns,pirate,NA,NA,R,E2N_3_the_pirate_yawns,pirate_yawns,pirate_ponders,cowboy_yawns,pirate_yawns,cowboy_ponders,i,spies,chef,NA,NA,L,chef_spies
E2N_3_1,filler,NA,NA,i,waves,artist,NA,NA,R,E2N_3_the_artist_waves,artist_waves,artist_shouts,artist_waves,cowboy_waves,cowboy_shouts,d,conveys,sailor,knight,cake,R,sailor_conveys_knight_cake
E2N_3_1,filler,NA,NA,m,examines,soldier,NA,cup,L,E2N_3_the_soldier_examines_the_cup,soldier_examines_cup,soldier_examines_cup,astronaut_examines_apple,astronaut_examines_cup,soldier_examines_apple,i,cries,prisoner,NA,NA,R,prisoner_cries
E2N_3_1,filler,NA,NA,i,ponders,clown,NA,NA,L,E2N_3_the_clown_ponders,clown_ponders,soldier_points,clown_points,clown_ponders,soldier_ponders,d,entrusts,cowboy,prisoner,book,L,cowboy_entrusts_prisoner_book
E2N_3_1,filler,NA,NA,i,ponders,pirate,NA,NA,L,E2N_3_the_pirate_ponders,pirate_ponders,pirate_ponders,chef_ponders,pirate_sings,chef_sings,i,shouts,prisoner,NA,NA,R,prisoner_shouts
E2N_3_1,filler,NA,NA,i,shouts,chef,NA,NA,L,E2N_3_the_chef_shouts,chef_shouts,cowboy_points,cowboy_shouts,chef_points,chef_shouts,d,loans,golfer,artist,apple,L,golfer_loans_artist_apple
E2N_3_1,critical,non,nonSV,d,displays,soldier,cowboy,vase,R,E2N_3_the_soldier_displays_the_cowboy_the_vase,soldier_displays_cowboy_vase,soldier_displays_cowboy_vase,soldier_displays_cowboy_book,cowboy_displays_soldier_book,cowboy_displays_soldier_vase,d,displays,clown,sailor,book,R,clown_displays_sailor_book
E2N_3_1,filler,NA,NA,d,loans,golfer,pirate,book,R,E2N_3_the_golfer_loans_the_pirate_the_book,golfer_loans_pirate_book,pirate_loans_astronaut_book,pirate_loans_golfer_book,astronaut_loans_pirate_book,golfer_loans_pirate_book,m,holds,wizard,NA,apple,R,wizard_holds_apple
E2N_3_1,filler,NA,NA,m,holds,astronaut,NA,hat,L,E2N_3_the_astronaut_holds_the_hat,astronaut_holds_hat,astronaut_holds_book,soldier_holds_hat,astronaut_holds_hat,soldier_holds_book,i,points,sailor,NA,NA,R,sailor_points
E2N_3_1,critical,non,altDV,d,displays,prisoner,sailor,cup,L,E2N_3_the_prisoner_displays_the_sailor_the_cup,prisoner_displays_sailor_cup,sailor_displays_prisoner_cup,sailor_displays_wizard_cup,wizard_displays_sailor_cup,prisoner_displays_sailor_cup,d,hands,chef,pirate,cake,R,chef_hands_pirate_cake
E2N_3_1,filler,NA,NA,i,spies,cowboy,NA,NA,L,E2N_3_the_cowboy_spies,cowboy_spies,cowboy_spies,artist_spies,cowboy_yawns,artist_yawns,d,loans,knight,sailor,hat,L,knight_loans_sailor_hat
E2N_3_1,filler,NA,NA,m,stabs,prisoner,NA,book,R,E2N_3_the_prisoner_stabs_the_book,prisoner_stabs_book,prisoner_stabs_hat,clown_stabs_book,prisoner_stabs_book,clown_stabs_hat,m,drops,prisoner,NA,book,L,prisoner_drops_book
E2N_3_1,critical,alt,altSV,d,lends,astronaut,wizard,book,L,E2N_3_the_astronaut_lends_the_wizard_the_book,astronaut_lends_wizard_book,astronaut_lends_wizard_book,astronaut_lends_knight_book,knight_lends_astronaut_book,wizard_lends_astronaut_book,d,lends,chef,wizard,cup,L,chef_lends_wizard_cup
E2N_3_1,filler,NA,NA,i,points,chef,NA,NA,L,E2N_3_the_chef_points,chef_points,chef_shouts,chef_points,knight_shouts,knight_points,d,passes,knight,astronaut,vase,R,knight_passes_astronaut_vase
E2N_3_1,filler,NA,NA,m,pokes,clown,NA,cup,R,E2N_3_the_clown_pokes_the_cup,clown_pokes_cup,clown_pokes_cup,clown_pokes_apple,clown_buys_apple,clown_buys_cup,d,passes,pirate,wizard,cup,L,pirate_passes_wizard_cup
E2N_3_1,filler,NA,NA,m,examines,prisoner,NA,book,L,E2N_3_the_prisoner_examines_the_book,prisoner_examines_book,sailor_drops_book,prisoner_examines_book,sailor_examines_book,prisoner_drops_book,m,catches,knight,NA,cup,R,knight_catches_cup
E2N_3_1,filler,NA,NA,m,holds,prisoner,NA,apple,L,E2N_3_the_prisoner_holds_the_apple,prisoner_holds_apple,artist_holds_apple,prisoner_holds_apple,artist_holds_book,prisoner_holds_book,m,stabs,soldier,NA,book,R,soldier_stabs_book
E2N_3_1,critical,non,altDV,d,reveals,pirate,golfer,vase,L,E2N_3_the_pirate_reveals_the_golfer_the_vase,pirate_reveals_golfer_vase,astronaut_reveals_pirate_vase,golfer_reveals_pirate_vase,pirate_reveals_golfer_vase,pirate_reveals_astronaut_vase,d,gives,soldier,clown,apple,R,soldier_gives_clown_apple
E2N_3_1,filler,NA,NA,m,pokes,artist,NA,cup,L,E2N_3_the_artist_pokes_the_cup,artist_pokes_cup,artist_pokes_apple,artist_buys_cup,artist_buys_apple,artist_pokes_cup,i,sings,soldier,NA,NA,L,soldier_sings
E2N_3_1,filler,NA,NA,i,yawns,pirate,NA,NA,R,E2N_3_the_pirate_yawns,pirate_yawns,pirate_yawns,chef_waves,pirate_waves,chef_yawns,i,spies,wizard,NA,NA,L,wizard_spies
E2N_3_1,filler,NA,NA,m,holds,cowboy,NA,cup,R,E2N_3_the_cowboy_holds_the_cup,cowboy_holds_cup,cowboy_holds_cup,sailor_holds_cup,cowboy_holds_book,sailor_holds_book,m,drops,astronaut,NA,book,R,astronaut_drops_book
E2N_3_1,filler,NA,NA,i,points,golfer,NA,NA,L,E2N_3_the_golfer_points,golfer_points,prisoner_points,prisoner_yawns,golfer_yawns,golfer_points,m,pokes,astronaut,NA,book,R,astronaut_pokes_book
E2N_3_1,filler,NA,NA,m,buys,sailor,NA,book,L,E2N_3_the_sailor_buys_the_book,sailor_buys_book,sailor_pokes_hat,sailor_pokes_book,sailor_buys_hat,sailor_buys_book,i,points,artist,NA,NA,L,artist_points
E2N_3_1,filler,NA,NA,i,sings,clown,NA,NA,R,E2N_3_the_clown_sings,clown_sings,clown_waves,wizard_sings,wizard_waves,clown_sings,d,loans,sailor,astronaut,hat,L,sailor_loans_astronaut_hat
E2N_3_1,filler,NA,NA,d,loans,astronaut,artist,cake,L,E2N_3_the_astronaut_loans_the_artist_the_cake,astronaut_loans_artist_cake,knight_loans_artist_cake,astronaut_loans_artist_cake,artist_loans_astronaut_cake,artist_loans_knight_cake,m,examines,pirate,NA,hat,L,pirate_examines_hat
E2N_3_1,filler,NA,NA,m,buys,soldier,NA,cup,R,E2N_3_the_soldier_buys_the_cup,soldier_buys_cup,soldier_buys_book,soldier_buys_cup,clown_buys_cup,clown_buys_book,i,ponders,cowboy,NA,NA,L,cowboy_ponders
E2N_3_1,filler,NA,NA,m,examines,golfer,NA,book,L,E2N_3_the_golfer_examines_the_book,golfer_examines_book,golfer_brushes_book,golfer_examines_book,golfer_examines_cake,golfer_brushes_cake,d,entrusts,knight,chef,hat,L,knight_entrusts_chef_hat
E2N_3_1,filler,NA,NA,m,examines,pirate,NA,cake,L,E2N_3_the_pirate_examines_the_cake,pirate_examines_cake,pirate_examines_cake,astronaut_buys_cake,astronaut_examines_cake,pirate_buys_cake,m,buys,golfer,NA,book,R,golfer_buys_book
E2N_3_1,critical,alt,altDV,d,lends,cowboy,artist,hat,R,E2N_3_the_cowboy_lends_the_artist_the_hat,cowboy_lends_artist_hat,artist_lends_cowboy_hat,cowboy_lends_chef_hat,cowboy_lends_artist_hat,chef_lends_cowboy_hat,d,gives,soldier,astronaut,vase,R,soldier_gives_astronaut_vase
